model,dataset,accuracy,accuracy_std,hamming_loss,hamming_loss_std,f1,f1_std
partial_classifier_chain_with_lop-num_generations=10-threshold=0.01,scene,0.4556,0.2119,-0.1172,0.0495,0.2717,0.088
partial_classifier_chain_with_lop-num_generations=10-threshold=0.01,yeast,0.2209,0.0223,-0.1935,0.0073,0.3725,0.0197
partial_classifier_chain_with_lop-num_generations=10-threshold=0.01,enron,0.0979,0.1155,-0.0474,0.0089,0.0952,0.0154
partial_classifier_chain_with_lop-num_generations=10-threshold=0.01,genbase,0.9682,0.0239,-0.0012,0.0009,0.5464,0.1141
partial_classifier_chain_with_lop-num_generations=10-threshold=0.01,medical,0.5564,0.0513,-0.0128,0.0018,0.2188,0.0154
partial_classifier_chain_with_lop-num_generations=10-threshold=0.01,tmc2007_500,0.6453,0.3036,-0.0308,0.0263,0.7188,0.2528
partial_classifier_chain_with_lop-num_generations=10-threshold=0.025,birds,0.5258,0.0709,-0.0402,0.0056,0.2008,0.0427
partial_classifier_chain_with_lop-num_generations=10-threshold=0.025,emotions,0.327,0.0436,-0.1836,0.0154,0.6454,0.0415
partial_classifier_chain_with_lop-num_generations=10-threshold=0.025,scene,0.4561,0.2132,-0.1161,0.049,0.2776,0.0933
partial_classifier_chain_with_lop-num_generations=10-threshold=0.025,yeast,0.2263,0.0206,-0.1908,0.0051,0.3787,0.0141
partial_classifier_chain_with_lop-num_generations=10-threshold=0.025,enron,0.0634,0.0307,-0.0485,0.0063,0.0917,0.0158
partial_classifier_chain_with_lop-num_generations=10-threshold=0.025,genbase,0.9682,0.0239,-0.0013,0.001,0.5455,0.1153
partial_classifier_chain_with_lop-num_generations=10-threshold=0.025,medical,0.5645,0.0515,-0.0124,0.0016,0.2201,0.0165
partial_classifier_chain_with_lop-num_generations=10-threshold=0.025,tmc2007_500,0.6452,0.3042,-0.0308,0.0263,0.7187,0.2533
partial_classifier_chain_with_lop-num_generations=10-threshold=0.05,birds,0.5289,0.0678,-0.0405,0.0055,0.1937,0.0399
partial_classifier_chain_with_lop-num_generations=10-threshold=0.05,emotions,0.3489,0.0458,-0.1794,0.0161,0.6541,0.0287
partial_classifier_chain_with_lop-num_generations=10-threshold=0.05,scene,0.4523,0.2108,-0.117,0.0489,0.273,0.0868
partial_classifier_chain_with_lop-num_generations=10-threshold=0.05,yeast,0.2358,0.0165,-0.1959,0.0077,0.3664,0.0152
